City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Nouadhibou,MR,2021-02-07 16:55:12,20.931,-17.0347,77.0,27,0,17.27
155,Ponta Do Sol,PT,2021-02-07 16:53:36,32.6667,-17.1,61.0,69,79,5.01
156,Margate,GB,2021-02-07 17:03:06,51.3813,1.3862,30.99,84,100,8.01
157,Nepomuceno,BR,2021-02-07 17:03:07,-21.2358,-45.2358,74.12,75,97,8.55
158,Nara,JP,2021-02-07 17:01:09,34.6851,135.8049,42.01,72,1,4.94
159,Mezen,RU,2021-02-07 17:03:10,65.8522,44.24,-18.29,88,97,8.05
160,Aguascalientes,MX,2021-02-07 17:03:12,21.8833,-102.3,66.2,18,1,4.61
161,Georgetown,MY,2021-02-07 16:55:17,5.4112,100.3354,82.4,83,20,3.44
162,Pevek,RU,2021-02-07 17:03:16,69.7008,170.3133,-6.72,87,0,1.86
163,Setermoen,NO,2021-02-07 17:03:17,68.861,18.3486,24.8,86,75,5.75
164,Saint-Philippe,RE,2021-02-07 16:54:41,-21.3585,55.7679,80.6,78,20,1.14
165,Geraldton,AU,2021-02-07 16:55:33,-28.7667,114.6,69.8,78,75,10.36
166,Esperance,AU,2021-02-07 16:56:25,-33.8667,121.9,64.4,82,40,16.11
167,Cradock,ZA,2021-02-07 17:03:21,-32.1642,25.6192,70.0,67,54,17.38
168,Yelandur,IN,2021-02-07 17:03:22,12.0667,77.0333,77.0,33,0,5.75
169,Port Elizabeth,ZA,2021-02-07 16:56:05,-33.918,25.5701,68.0,94,75,8.05
170,Butaritari,KI,2021-02-07 16:58:33,3.0707,172.7902,80.53,81,42,17.45
171,Vaini,TO,2021-02-07 16:53:43,-21.2,-175.2,77.0,94,75,10.36
172,Te Anau,NZ,2021-02-07 16:59:54,-45.4167,167.7167,54.21,81,99,3.13
173,Udachnyy,RU,2021-02-07 17:03:28,66.4167,112.4,-24.79,84,100,7.83
174,Mindelo,CV,2021-02-07 17:03:29,16.8901,-24.9804,71.6,56,75,25.32
175,Half Moon Bay,US,2021-02-07 17:00:14,37.4636,-122.4286,53.01,100,40,3.96
176,Maceio,BR,2021-02-07 17:03:31,-9.6658,-35.7353,87.8,58,40,13.8
177,Praia,CV,2021-02-07 16:59:05,14.9215,-23.5087,73.4,53,75,25.32
178,Pisco,PE,2021-02-07 16:55:34,-13.7,-76.2167,78.01,83,75,5.75
179,Spokane,US,2021-02-07 17:01:09,47.6166,-117.3677,33.8,75,90,6.78
180,Santa Cruz De La Palma,ES,2021-02-07 17:03:36,28.6835,-17.7642,66.2,63,75,8.05
181,Airai,TL,2021-02-07 16:54:31,-8.9266,125.4092,60.93,100,100,2.57
182,Jalu,LY,2021-02-07 17:03:39,29.0331,21.5482,69.8,24,81,10.87
183,East London,ZA,2021-02-07 17:03:42,-33.0153,27.9116,73.4,83,20,6.91
184,Anadyr,RU,2021-02-07 17:03:43,64.75,177.4833,10.4,40,0,6.71
185,Caravelas,BR,2021-02-07 17:00:08,-17.7125,-39.2481,82.51,81,79,8.75
186,Kathu,TH,2021-02-07 17:03:45,7.9178,98.3332,78.8,83,20,3.44
187,Hasaki,JP,2021-02-07 17:02:14,35.7333,140.8333,37.4,70,75,1.14
188,Washougal,US,2021-02-07 17:03:48,45.5826,-122.3534,42.8,81,75,5.75
189,Kavaratti,IN,2021-02-07 17:02:04,10.5669,72.642,81.5,66,0,6.73
190,Severo-Kurilsk,RU,2021-02-07 17:03:50,50.6789,156.125,18.16,88,88,14.79
191,Dawlatabad,AF,2021-02-07 17:03:52,36.4141,64.9053,54.68,49,77,4.0
192,Qingdao,CN,2021-02-07 17:03:53,36.0986,120.3719,32.0,59,0,11.18
193,Juneau,US,2021-02-07 17:01:31,58.3019,-134.4197,10.99,78,20,5.99
194,New Norfolk,AU,2021-02-07 16:55:00,-42.7826,147.0587,55.4,62,90,9.22
195,Tokur,RU,2021-02-07 16:59:03,53.1333,132.9,-21.75,88,43,0.47
196,Jos,NG,2021-02-07 17:03:57,9.9167,8.9,82.26,15,83,5.1
197,Picota,PE,2021-02-07 17:03:58,-6.9197,-76.3304,87.8,66,40,4.61
198,Naze,JP,2021-02-07 16:56:40,28.3667,129.4833,57.83,64,0,8.81
199,San Quintin,MX,2021-02-07 17:04:00,30.4833,-115.95,63.36,55,0,7.9
200,Jieshi,CN,2021-02-07 17:04:02,22.8134,115.8257,63.01,81,0,11.63
201,Fortuna,US,2021-02-07 17:04:04,40.5982,-124.1573,46.0,93,90,3.96
202,Shelburne,CA,2021-02-07 17:04:05,44.0787,-80.2041,18.0,80,80,12.82
203,Alofi,NU,2021-02-07 17:04:06,-19.0595,-169.9187,77.0,94,76,4.61
204,Gat,IL,2021-02-07 17:00:08,31.61,34.7642,62.01,100,0,5.01
205,Abancay,PE,2021-02-07 17:01:16,-13.6339,-72.8814,67.03,55,100,5.41
206,Talnakh,RU,2021-02-07 16:57:01,69.4865,88.3972,-23.26,72,0,3.44
207,Lahan,NP,2021-02-07 17:04:10,26.7296,86.4951,60.15,51,0,3.98
208,Voi,KE,2021-02-07 17:04:11,-3.3945,38.563,81.03,50,90,6.35
209,Susangerd,IR,2021-02-07 17:04:12,31.5608,48.1831,55.4,94,0,2.3
210,Varca,IN,2021-02-07 17:04:14,15.2167,73.9167,80.6,69,0,1.14
211,Beloha,MG,2021-02-07 16:54:23,-25.1667,45.05,77.23,81,23,9.91
212,Souillac,MU,2021-02-07 16:57:33,-20.5167,57.5167,80.6,78,20,10.36
213,Abatskoye,RU,2021-02-07 17:04:18,56.2875,70.4555,3.51,91,100,18.23
214,Carapegua,PY,2021-02-07 17:04:19,-25.8,-57.2333,86.0,42,0,4.61
215,Pasighat,IN,2021-02-07 16:56:52,28.0667,95.3333,60.91,44,5,2.64
216,Altay,CN,2021-02-07 17:04:22,47.8667,88.1167,22.08,84,97,2.55
217,Makakilo City,US,2021-02-07 16:59:27,21.3469,-158.0858,62.6,77,75,4.61
218,Kirksville,US,2021-02-07 17:04:24,40.1948,-92.5833,0.0,71,90,6.91
219,Luderitz,NA,2021-02-07 16:57:03,-26.6481,15.1594,76.23,51,0,31.94
220,Beaverlodge,CA,2021-02-07 17:02:08,55.2166,-119.4361,-47.2,66,1,4.61
221,Banda Aceh,ID,2021-02-07 17:04:27,5.5577,95.3222,78.85,82,19,7.78
222,Sao Joao Da Barra,BR,2021-02-07 17:04:28,-21.6403,-41.0511,73.4,94,90,5.93
223,Ust-Nera,RU,2021-02-07 17:04:29,64.5667,143.2,-12.59,76,96,5.59
224,Deputatskiy,RU,2021-02-07 17:04:30,69.3,139.9,-30.08,86,0,1.57
225,Phagwara,IN,2021-02-07 17:04:31,31.2178,75.7694,53.11,64,0,3.51
226,Ancud,CL,2021-02-07 17:04:33,-41.8697,-73.8203,80.6,36,0,6.91
227,Meadow Lake,US,2021-02-07 17:01:28,34.8014,-106.5436,46.99,17,1,6.42
228,Mazagao,BR,2021-02-07 17:02:03,-0.115,-51.2894,87.8,66,40,9.22
229,Touho,NC,2021-02-07 17:04:36,-20.7833,165.2333,76.77,76,93,3.27
230,Ola,RU,2021-02-07 17:04:37,59.5833,151.2833,13.96,89,100,24.99
231,Kamaishi,JP,2021-02-07 17:04:38,39.2667,141.8833,27.5,87,1,14.7
232,Qandala,SO,2021-02-07 17:04:39,11.472,49.8728,76.32,72,17,3.69
233,Orange Cove,US,2021-02-07 17:04:41,36.6244,-119.3137,51.01,100,1,1.25
234,Boa Vista,BR,2021-02-07 17:04:42,2.8197,-60.6733,87.8,51,75,14.97
235,Rio Grande,BR,2021-02-07 16:55:56,-32.035,-52.0986,80.6,57,40,6.91
236,General Pico,AR,2021-02-07 17:04:45,-35.6566,-63.7568,96.96,12,0,6.55
237,Saint Anthony,US,2021-02-07 17:03:04,45.0205,-93.218,-9.4,59,1,9.22
238,Henties Bay,NA,2021-02-07 17:04:47,-22.116,14.2845,64.99,86,75,3.0
239,Olafsvik,IS,2021-02-07 17:04:48,64.8945,-23.7142,34.0,84,0,14.56
240,Barrhead,GB,2021-02-07 17:04:50,55.7992,-4.3929,34.0,75,90,14.97
241,Koprivnica,HR,2021-02-07 17:04:51,46.1628,16.8275,46.99,82,100,3.0
242,Puerto Penasco,MX,2021-02-07 17:03:57,31.3167,-113.5333,60.01,61,0,7.0
243,Mahebourg,MU,2021-02-07 16:55:52,-20.4081,57.7,80.6,78,20,10.36
244,Pandharpur,IN,2021-02-07 17:04:54,17.6667,75.3333,74.88,27,5,9.19
245,Provost,CA,2021-02-07 17:04:55,52.3501,-110.2683,-27.4,68,10,3.44
246,Quatre Cocos,MU,2021-02-07 17:04:57,-20.2078,57.7625,81.0,78,20,10.36
247,Malinovoye Ozero,RU,2021-02-07 17:04:58,51.6753,79.7825,19.81,93,80,10.18
248,Bhadrak,IN,2021-02-07 17:04:59,21.0633,86.5054,63.14,69,22,2.82
249,Cabo San Lucas,MX,2021-02-07 16:55:03,22.8909,-109.9124,69.01,72,40,3.44
250,Aklavik,CA,2021-02-07 17:05:01,68.2191,-135.0107,-11.2,70,90,13.8
251,Cordoba,AR,2021-02-07 17:02:21,-31.4135,-64.1811,88.0,51,20,13.8
252,Valparaiso,CL,2021-02-07 17:01:51,-33.0393,-71.6273,64.99,72,90,6.91
253,Druzhba,UA,2021-02-07 17:05:04,52.0428,33.9453,1.74,93,26,6.13
254,Roebourne,AU,2021-02-07 17:01:21,-20.7833,117.1333,78.89,68,3,11.43
255,Tartagal,AR,2021-02-07 17:00:42,-22.5164,-63.8013,90.32,31,0,7.02
256,Fonte Boa,BR,2021-02-07 17:05:08,-2.4959,-66.2662,85.1,69,100,1.81
257,Hervey Bay,AU,2021-02-07 17:03:17,-25.2986,152.8535,80.01,84,55,1.01
258,Marsaxlokk,MT,2021-02-07 17:05:10,35.8419,14.5431,64.4,68,0,12.66
259,Shache,CN,2021-02-07 17:00:29,38.4167,77.2406,33.33,76,23,1.83
260,Waitati,NZ,2021-02-07 17:05:12,-45.75,170.5667,57.99,90,55,1.01
261,Meulaboh,ID,2021-02-07 17:00:41,4.1363,96.1285,78.55,82,28,3.91
262,Saint-Georges,GD,2021-02-07 17:01:27,12.0564,-61.7485,84.2,65,20,24.16
263,Port Hardy,CA,2021-02-07 16:56:38,50.6996,-127.4199,39.2,93,75,5.75
264,Varhaug,NO,2021-02-07 17:05:16,58.6147,5.6457,24.8,54,0,8.05
265,Puerto Escondido,MX,2021-02-07 17:01:24,15.85,-97.0667,82.4,78,75,3.44
266,Lebu,CL,2021-02-07 16:55:37,-37.6167,-73.65,64.9,72,58,6.51
267,Salinas,US,2021-02-07 17:04:16,36.6777,-121.6555,48.99,76,1,9.22
268,Provideniya,RU,2021-02-07 17:05:21,64.3833,-173.3,-3.48,77,32,16.15
269,Dhing,IN,2021-02-07 17:05:22,26.4667,92.4667,65.35,46,31,5.23
270,Okhotsk,RU,2021-02-07 17:05:23,59.3833,143.3,13.64,88,100,21.94
271,Palizada,MX,2021-02-07 17:05:24,18.25,-92.0833,78.8,73,40,9.22
272,Ambovombe,MG,2021-02-07 17:05:25,-25.1667,46.0833,77.92,90,22,9.95
273,Mandalgovi,MN,2021-02-07 17:05:26,45.7625,106.2708,12.63,81,0,10.31
274,Falun,SE,2021-02-07 17:01:06,60.6036,15.626,19.4,79,90,9.22
275,Sinnamary,GF,2021-02-07 17:05:28,5.3833,-52.95,78.44,87,80,14.88
276,Tahe,CN,2021-02-07 17:05:29,52.3333,124.7333,-13.61,86,28,3.89
277,Oussouye,SN,2021-02-07 17:05:32,12.485,-16.5469,89.6,32,0,11.5
278,Baykit,RU,2021-02-07 17:05:33,61.67,96.37,25.61,96,100,5.3
279,Biak,ID,2021-02-07 17:05:34,-0.9131,122.8766,77.68,80,100,2.35
280,Ranong,TH,2021-02-07 17:05:35,9.9658,98.6348,74.97,87,7,5.17
281,Mingshui,CN,2021-02-07 17:05:36,36.7167,117.5,39.0,37,89,2.51
282,Sale,MA,2021-02-07 17:01:44,34.0389,-6.8166,60.8,67,40,4.61
283,Totolapan,MX,2021-02-07 17:05:39,18.5167,-96.1833,78.01,78,90,13.8
284,Praia Da Vitoria,PT,2021-02-07 16:57:38,38.7333,-27.0667,62.01,77,75,17.54
285,Wanning,CN,2021-02-07 17:05:41,18.8003,110.3967,69.28,88,29,4.7
286,Tsaratanana,MG,2021-02-07 17:03:27,-16.7833,47.65,74.16,85,100,3.74
287,Penzance,GB,2021-02-07 17:05:44,50.1186,-5.5371,39.2,81,75,14.97
288,Victoria,HK,2021-02-07 17:05:45,22.2855,114.1577,68.0,83,0,10.6
289,Poya,NC,2021-02-07 17:05:46,-21.35,165.15,74.46,80,100,3.04
290,Cristalina,BR,2021-02-07 17:01:07,-16.7686,-47.6136,69.44,96,88,11.1
291,Evensk,RU,2021-02-07 17:05:48,61.95,159.2333,18.75,83,100,35.41
292,Kupang,ID,2021-02-07 17:05:49,-10.1667,123.5833,79.45,82,100,6.4
